          time, Bus_0001.V.im, Bus_0001.V.re, Bus_0002.V.im, Bus_0002.V.re, Bus_0003.V.im, Bus_0003.V.re, Bus_0004.V.im, Bus_0004.V.re, Bus_0005.V.im, Bus_0005.V.re, Bus_0006.V.im, Bus_0006.V.re, Bus_0007.V.im, Bus_0007.V.re, Bus_0008.V.im, Bus_0008.V.re, Bus_0009.V.im, Bus_0009.V.re, Bus_0010.V.im, Bus_0010.V.re, Bus_0011.V.im, Bus_0011.V.re, Bus_0012.V.im, Bus_0012.V.re, Bus_0013.V.im, Bus_0013.V.re, Bus_0014.V.im, Bus_0014.V.re
  4.500000e-02,     -0.000000, 139919.999502, -11914.332341, 137424.495976, -29141.438023, 130096.113717, -24421.724658, 133355.773738, -21234.926732, 134742.981204,  -9067.968173,  34125.767946,   -243.280517,   1016.535235,  -2790.679534,  11660.712087,  -8825.082293,  32757.298164,  -8964.910597,  32713.931390,  -9052.973769,  33279.462252,  -9415.961697,  33450.615234,  -9366.818731,  33232.890940,  -9481.618737,  32217.651335
  4.600000e-02,      0.000000, 139919.999502, -11914.332340, 137424.495976, -29141.438022, 130096.113717, -24421.724658, 133355.773738, -21234.926731, 134742.981203,  -9067.968173,  34125.767946,   -243.280517,   1016.535235,  -2790.679534,  11660.712087,  -8825.082293,  32757.298163,  -8964.910597,  32713.931390,  -9052.973769,  33279.462252,  -9415.961697,  33450.615234,  -9366.818731,  33232.890940,  -9481.618737,  32217.651335
  4.700000e-02,      0.000001, 139919.999501, -11914.332340, 137424.495975, -29141.438022, 130096.113716, -24421.724657, 133355.773737, -21234.926731, 134742.981203,  -9067.968172,  34125.767946,   -243.280517,   1016.535235,  -2790.679534,  11660.712087,  -8825.082293,  32757.298163,  -8964.910596,  32713.931390,  -9052.973769,  33279.462252,  -9415.961697,  33450.615234,  -9366.818731,  33232.890940,  -9481.618737,  32217.651335
  4.800000e-02,      0.000001, 139919.999501, -11914.332339, 137424.495975, -29141.438022, 130096.113716, -24421.724657, 133355.773737, -21234.926731, 134742.981202,  -9067.968172,  34125.767945,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082293,  32757.298163,  -8964.910596,  32713.931390,  -9052.973769,  33279.462252,  -9415.961697,  33450.615233,  -9366.818731,  33232.890940,  -9481.618737,  32217.651335
  4.900000e-02,      0.000002, 139919.999500, -11914.332339, 137424.495974, -29141.438021, 130096.113715, -24421.724656, 133355.773736, -21234.926730, 134742.981202,  -9067.968172,  34125.767945,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082293,  32757.298163,  -8964.910596,  32713.931390,  -9052.973768,  33279.462252,  -9415.961697,  33450.615233,  -9366.818731,  33232.890940,  -9481.618737,  32217.651335
  5.000000e-02,      0.000002, 139919.999500, -11914.332338, 137424.495974, -29141.438021, 130096.113714, -24421.724656, 133355.773736, -21234.926730, 134742.981201,  -9067.968172,  34125.767945,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082293,  32757.298163,  -8964.910596,  32713.931389,  -9052.973768,  33279.462252,  -9415.961697,  33450.615233,  -9366.818731,  33232.890940,  -9481.618737,  32217.651334
  5.100000e-02,      0.000003, 139919.999499, -11914.332338, 137424.495973, -29141.438021, 130096.113714, -24421.724656, 133355.773735, -21234.926730, 134742.981201,  -9067.968172,  34125.767945,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082293,  32757.298163,  -8964.910596,  32713.931389,  -9052.973768,  33279.462252,  -9415.961697,  33450.615233,  -9366.818731,  33232.890940,  -9481.618737,  32217.651334
  5.200000e-02,      0.000003, 139919.999499, -11914.332338, 137424.495973, -29141.438021, 130096.113713, -24421.724655, 133355.773735, -21234.926729, 134742.981200,  -9067.968172,  34125.767945,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082292,  32757.298163,  -8964.910596,  32713.931389,  -9052.973768,  33279.462251,  -9415.961697,  33450.615233,  -9366.818731,  33232.890939,  -9481.618737,  32217.651334
  5.300000e-02,      0.000003, 139919.999498, -11914.332337, 137424.495972, -29141.438020, 130096.113713, -24421.724655, 133355.773734, -21234.926729, 134742.981200,  -9067.968172,  34125.767945,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082292,  32757.298163,  -8964.910596,  32713.931389,  -9052.973768,  33279.462251,  -9415.961697,  33450.615233,  -9366.818731,  33232.890939,  -9481.618737,  32217.651334
  5.400000e-02,      0.000004, 139919.999498, -11914.332337, 137424.495972, -29141.438020, 130096.113712, -24421.724654, 133355.773734, -21234.926728, 134742.981199,  -9067.968172,  34125.767944,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082292,  32757.298163,  -8964.910596,  32713.931389,  -9052.973768,  33279.462251,  -9415.961697,  33450.615233,  -9366.818731,  33232.890939,  -9481.618736,  32217.651334
  5.500000e-02,      0.000005, 139919.999497, -11914.332336, 137424.495971, -29141.438020, 130096.113712, -24421.724654, 133355.773733, -21234.926728, 134742.981199,  -9067.968172,  34125.767944,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082292,  32757.298162,  -8964.910596,  32713.931389,  -9052.973768,  33279.462251,  -9415.961697,  33450.615232,  -9366.818731,  33232.890939,  -9481.618736,  32217.651334
  5.600000e-02,      0.000005, 139919.999497, -11914.332336, 137424.495970, -29141.438020, 130096.113711, -24421.724654, 133355.773733, -21234.926727, 134742.981198,  -9067.968172,  34125.767944,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082292,  32757.298162,  -8964.910596,  32713.931389,  -9052.973768,  33279.462251,  -9415.961697,  33450.615232,  -9366.818731,  33232.890939,  -9481.618736,  32217.651334
  5.700000e-02,      0.000006, 139919.999496, -11914.332335, 137424.495970, -29141.438019, 130096.113711, -24421.724653, 133355.773732, -21234.926727, 134742.981198,  -9067.968172,  34125.767944,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082292,  32757.298162,  -8964.910596,  32713.931389,  -9052.973768,  33279.462251,  -9415.961697,  33450.615232,  -9366.818730,  33232.890939,  -9481.618736,  32217.651334
  5.800000e-02,      0.000006, 139919.999496, -11914.332335, 137424.495969, -29141.438019, 130096.113710, -24421.724653, 133355.773732, -21234.926727, 134742.981197,  -9067.968172,  34125.767944,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082292,  32757.298162,  -8964.910595,  32713.931388,  -9052.973768,  33279.462251,  -9415.961697,  33450.615232,  -9366.818730,  33232.890939,  -9481.618736,  32217.651333
  5.900000e-02,      0.000007, 139919.999495, -11914.332334, 137424.495969, -29141.438019, 130096.113709, -24421.724652, 133355.773731, -21234.926726, 134742.981197,  -9067.968172,  34125.767944,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082292,  32757.298162,  -8964.910595,  32713.931388,  -9052.973768,  33279.462251,  -9415.961697,  33450.615232,  -9366.818730,  33232.890938,  -9481.618736,  32217.651333
  6.000000e-02,      0.000007, 139919.999495, -11914.332334, 137424.495968, -29141.438018, 130096.113709, -24421.724652, 133355.773731, -21234.926726, 134742.981196,  -9067.968172,  34125.767944,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082292,  32757.298162,  -8964.910595,  32713.931388,  -9052.973768,  33279.462250,  -9415.961697,  33450.615232,  -9366.818730,  33232.890938,  -9481.618736,  32217.651333
  6.100000e-02,      0.000008, 139919.999494, -11914.332333, 137424.495968, -29141.438018, 130096.113708, -24421.724651, 133355.773730, -21234.926725, 134742.981196,  -9067.968172,  34125.767943,   -243.280517,   1016.535235,  -2790.679533,  11660.712087,  -8825.082291,  32757.298162,  -8964.910595,  32713.931388,  -9052.973768,  33279.462250,  -9415.961697,  33450.615231,  -9366.818730,  33232.890938,  -9481.618736,  32217.651333
